Code,Area,Year,Gender,Type,Values
101,Capital Region,2016,Males,Jobs,91.5
101,Capital Region,2017,Males,Jobs,93
101,Capital Region,2018,Males,Jobs,94
101,Capital Region,2019,Males,Jobs,94.2
101,Capital Region,2020,Males,Jobs,98.3
101,Capital Region,2016,Females,Jobs,87.1
101,Capital Region,2017,Females,Jobs,87.7
101,Capital Region,2018,Females,Jobs,91
101,Capital Region,2019,Females,Jobs,90.4
101,Capital Region,2020,Females,Jobs,96
101,Capital Region,2016,Males,Salary,26113
101,Capital Region,2017,Males,Salary,27267
101,Capital Region,2018,Males,Salary,28293
101,Capital Region,2019,Males,Salary,29974
101,Capital Region,2020,Males,Salary,31261
101,Capital Region,2016,Females,Salary,19321
101,Capital Region,2017,Females,Salary,20634
101,Capital Region,2018,Females,Salary,20641
101,Capital Region,2019,Females,Salary,23197
101,Capital Region,2020,Females,Salary,23452
102,Central Coast,2016,Males,Jobs,123.8
102,Central Coast,2017,Males,Jobs,125.7
102,Central Coast,2018,Males,Jobs,126.5
102,Central Coast,2019,Males,Jobs,124.8
102,Central Coast,2020,Males,Jobs,129.6
102,Central Coast,2016,Females,Jobs,118.7
102,Central Coast,2017,Females,Jobs,121.1
102,Central Coast,2018,Females,Jobs,124.5
102,Central Coast,2019,Females,Jobs,122
102,Central Coast,2020,Females,Jobs,131.2
102,Central Coast,2016,Males,Salary,33371
102,Central Coast,2017,Males,Salary,34068
102,Central Coast,2018,Males,Salary,35665
102,Central Coast,2019,Males,Salary,37522
102,Central Coast,2020,Males,Salary,37297
102,Central Coast,2016,Females,Salary,20974
102,Central Coast,2017,Females,Salary,22000
102,Central Coast,2018,Females,Salary,22660
102,Central Coast,2019,Females,Salary,25550
102,Central Coast,2020,Females,Salary,25077
103,Central West,2016,Males,Jobs,83.6
103,Central West,2017,Males,Jobs,84.3
103,Central West,2018,Males,Jobs,85.1
103,Central West,2019,Males,Jobs,83.4
103,Central West,2020,Males,Jobs,88.5
103,Central West,2016,Females,Jobs,75.7
103,Central West,2017,Females,Jobs,76.6
103,Central West,2018,Females,Jobs,79.1
103,Central West,2019,Females,Jobs,77.2
103,Central West,2020,Females,Jobs,84.2
103,Central West,2016,Males,Salary,25659
103,Central West,2017,Males,Salary,27222
103,Central West,2018,Males,Salary,27268
103,Central West,2019,Males,Salary,30206
103,Central West,2020,Males,Salary,29802
103,Central West,2016,Females,Salary,17909
103,Central West,2017,Females,Salary,18970
103,Central West,2018,Females,Salary,18750
103,Central West,2019,Females,Salary,21000
103,Central West,2020,Females,Salary,21200
104,Coffs Harbour - Grafton,2016,Males,Jobs,50.8
104,Coffs Harbour - Grafton,2017,Males,Jobs,52.5
104,Coffs Harbour - Grafton,2018,Males,Jobs,53.1
104,Coffs Harbour - Grafton,2019,Males,Jobs,52.9
104,Coffs Harbour - Grafton,2020,Males,Jobs,54.9
104,Coffs Harbour - Grafton,2016,Females,Jobs,49.3
104,Coffs Harbour - Grafton,2017,Females,Jobs,50.3
104,Coffs Harbour - Grafton,2018,Females,Jobs,51.8
