...1,Year,Time_Period,Gender,Count
3,1991,104 weeks and over (2 years and over),Females,2225.6
4,1991,104 weeks and over (2 years and over),Males,2485
5,1991,13 weeks and under 26 weeks (3-6 months),Females,209.5
6,1991,13 weeks and under 26 weeks (3-6 months),Males,211.6
7,1991,26 weeks and under 52 weeks (6-12 months),Females,405.3
8,1991,26 weeks and under 52 weeks (6-12 months),Males,413.2
9,1991,4 weeks and under 13 weeks (1-3 months),Females,83.1
10,1991,4 weeks and under 13 weeks (1-3 months),Males,85
11,1991,52 weeks and under 104 weeks (1-2 years),Females,767
12,1991,52 weeks and under 104 weeks (1-2 years),Males,768.5
13,1991,Under 4 weeks (under 1 month),Females,21.3
14,1991,Under 4 weeks (under 1 month),Males,22.5
19,1992,104 weeks and over (2 years and over),Females,2144.4
20,1992,104 weeks and over (2 years and over),Males,2237.7
21,1992,13 weeks and under 26 weeks (3-6 months),Females,210.9
22,1992,13 weeks and under 26 weeks (3-6 months),Males,212.4
23,1992,26 weeks and under 52 weeks (6-12 months),Females,410.3
24,1992,26 weeks and under 52 weeks (6-12 months),Males,418.8
25,1992,4 weeks and under 13 weeks (1-3 months),Females,83.1
26,1992,4 weeks and under 13 weeks (1-3 months),Males,84.8
27,1992,52 weeks and under 104 weeks (1-2 years),Females,771.1
28,1992,52 weeks and under 104 weeks (1-2 years),Males,794
29,1992,Under 4 weeks (under 1 month),Females,22
30,1992,Under 4 weeks (under 1 month),Males,23.1
35,1993,104 weeks and over (2 years and over),Females,2198.4
36,1993,104 weeks and over (2 years and over),Males,2173.7
37,1993,13 weeks and under 26 weeks (3-6 months),Females,209.8
38,1993,13 weeks and under 26 weeks (3-6 months),Males,212.2
39,1993,26 weeks and under 52 weeks (6-12 months),Females,409.6
40,1993,26 weeks and under 52 weeks (6-12 months),Males,414.5
41,1993,4 weeks and under 13 weeks (1-3 months),Females,82.3
42,1993,4 weeks and under 13 weeks (1-3 months),Males,84.7
43,1993,52 weeks and under 104 weeks (1-2 years),Females,774.2
44,1993,52 weeks and under 104 weeks (1-2 years),Males,802.1
45,1993,Under 4 weeks (under 1 month),Females,22.2
46,1993,Under 4 weeks (under 1 month),Males,23.1
51,1994,104 weeks and over (2 years and over),Females,2226.6
52,1994,104 weeks and over (2 years and over),Males,2289.6
53,1994,13 weeks and under 26 weeks (3-6 months),Females,208.4
54,1994,13 weeks and under 26 weeks (3-6 months),Males,213
55,1994,26 weeks and under 52 weeks (6-12 months),Females,402
56,1994,26 weeks and under 52 weeks (6-12 months),Males,414.7
57,1994,4 weeks and under 13 weeks (1-3 months),Females,81.7
